frame,obj_cls,obj_id,x,y,w,h
1,0,1,931.9148,270.48474,69.21649,143.96884
1,0,2,574.5409,352.75012,123.404236,120.03165
1,0,3,1054.1135,583.06775,147.28961,107.94714
1,0,4,570.1081,91.57047,148.32764,77.15367
1,0,5,682.1963,318.82202,117.35333,117.99802
1,0,6,641.1151,625.0514,82.48151,166.50879
1,0,7,76.97417,428.76514,151.27481,77.530975
1,0,8,880.00134,653.40356,78.73157,133.19281
1,0,9,1047.6333,259.93018,63.8761,154.67468
2,0,1,931.3984,271.22678,69.29773,144.06305
2,0,2,574.02844,353.22437,123.00714,119.64206
2,0,3,1053.7463,582.8346,147.01306,107.7262
2,0,4,572.26135,91.73701,148.53058,77.28093
2,0,5,682.29395,318.73825,117.138794,117.77527
2,0,6,641.3451,624.6671,82.28192,166.08636
2,0,7,76.85243,428.55597,151.9841,77.90268
2,0,8,879.9629,653.33344,78.81213,133.33313
2,0,9,1047.6659,259.73117,63.902527,154.73158
3,0,1,931.3081,271.35345,69.35687,144.07832
3,0,2,573.94116,353.30527,122.940796,119.57263
3,0,3,1053.6837,582.7946,146.99823,107.68933
3,0,4,572.6359,91.764206,148.4974,77.29444
3,0,5,682.3108,318.727,117.105225,117.73132
3,0,6,641.38495,624.5996,82.26172,166.01788
3,0,7,76.83129,428.52216,152.07414,77.96042
3,0,8,879.95557,653.3203,78.8244,133.35944
3,0,9,1047.6719,259.69595,63.90979,154.73888
4,0,1,931.29114,271.37274,69.42871,144.09273
4,0,2,573.91394,353.31558,122.92316,119.548035
4,0,3,1053.671,582.7881,147.03522,107.68359
4,0,4,572.729,91.764496,148.41641,77.29052
4,0,5,682.319,318.7165,117.11725,117.73111
4,0,6,641.4173,624.5536,82.298584,166.06775
4,0,7,76.8257,428.51672,152.06781,77.97189
4,0,8,879.95636,653.3041,78.8385,133.39185
4,0,9,1047.673,259.68787,63.912903,154.733
5,0,1,931.28925,271.37872,69.50073,144.08394
5,0,2,573.91797,353.3333,122.967834,119.58646
5,0,3,1053.6714,582.79065,147.09479,107.68939
5,0,4,572.7854,91.758804,148.29861,77.27634
5,0,5,682.3133,318.7005,117.145874,117.74512
5,0,6,641.4269,624.5514,82.315674,166.07288
5,0,7,76.82811,428.51547,152.0411,77.97534
5,0,8,879.9597,653.32336,78.81073,133.35321
5,0,9,1047.6757,259.6881,63.92108,154.73715
6,0,1,931.29736,271.42386,69.61273,144.15816
6,0,2,573.8779,353.33704,123.06732,119.67282
6,0,3,1053.707,582.8003,147.17206,107.69806
6,0,4,572.6629,91.80047,148.25586,77.30525
6,0,5,682.3839,318.68597,117.01605,117.589386
6,0,6,641.4682,624.55383,82.30371,166.0188
6,0,7,76.764084,428.53845,151.98462,77.96768
6,0,8,879.95953,653.2423,78.900024,133.51544
6,0,9,1047.6722,259.62128,63.886475,154.61967
7,0,1,931.3206,271.46536,69.72107,144.21625
7,0,2,573.8542,353.33148,123.082886,119.672455
7,0,3,1053.7305,582.8175,147.24744,107.70032
7,0,4,572.59424,91.81422,148.16187,77.31032
7,0,5,682.4027,318.66605,117.00159,117.5473
7,0,6,641.47864,624.5376,82.34198,166.06598
7,0,7,76.756226,428.56293,151.88068,77.93323
7,0,8,879.94556,653.24005,78.901,133.51978
7,0,9,1047.6599,259.61847,63.89081,154.59853
8,0,1,931.12805,271.634,69.59723,143.66827
8,0,2,573.41437,353.64075,122.84277,119.45166
